40,2,17756820.0
S0,small,"(0, 56)","(8, 64)"
S1,small,"(0, 67)","(8, 75)"
S2,small,"(0, 91)","(8, 99)"
S3,small,"(0, 116)","(8, 124)"
S4,small,"(11, 89)","(19, 97)"
S5,small,"(11, 116)","(19, 124)"
S6,small,"(12, 76)","(20, 84)"
S7,small,"(22, 85)","(30, 93)"
S8,small,"(22, 109)","(30, 117)"
S9,small,"(31, 119)","(39, 127)"
S10,small,"(33, 17)","(41, 25)"
S11,small,"(33, 0)","(41, 8)"
S12,small,"(33, 28)","(41, 36)"
S13,small,"(0, 102)","(8, 110)"
S14,small,"(11, 100)","(19, 108)"
S15,small,"(33, 39)","(41, 47)"
S16,small,"(33, 87)","(41, 95)"
S17,small,"(34, 108)","(42, 116)"
S18,small,"(39, 50)","(47, 58)"
S19,small,"(0, 78)","(8, 86)"
S20,small,"(22, 96)","(30, 104)"
S21,small,"(42, 97)","(50, 105)"
S22,small,"(44, 0)","(52, 8)"
S23,small,"(44, 11)","(52, 19)"
M0,medium,"(45, 23)","(56, 30)"
M1,medium,"(46, 149)","(57, 156)"
M2,medium,"(46, 160)","(57, 167)"
M3,medium,"(50, 59)","(61, 66)"
M4,medium,"(53, 106)","(64, 113)"
M5,medium,"(54, 90)","(65, 97)"
M6,medium,"(43, 119)","(54, 126)"
M7,medium,"(45, 34)","(56, 41)"
M8,medium,"(51, 45)","(62, 52)"
M9,medium,"(56, 0)","(67, 7)"
L0,large,"(15, 56)","(27, 66)"
L1,large,"(63, 14)","(75, 24)"
L2,large,"(46, 73)","(58, 83)"
L3,large,"(55, 132)","(67, 142)"
L4,large,"(64, 149)","(76, 159)"
L5,large,"(149, 66)","(161, 76)"
20,1,8536770.0
S0,small,"(74, 115)","(82, 123)"
S1,small,"(81, 142)","(89, 150)"
S2,small,"(100, 145)","(108, 153)"
S3,small,"(50, 99)","(58, 107)"
S4,small,"(82, 14)","(90, 22)"
S5,small,"(99, 80)","(107, 88)"
S6,small,"(139, 1)","(147, 9)"
S7,small,"(148, 121)","(156, 129)"
S8,small,"(134, 90)","(142, 98)"
S9,small,"(57, 124)","(65, 132)"
S10,small,"(53, 87)","(61, 95)"
S11,small,"(133, 109)","(141, 117)"
M0,medium,"(67, 2)","(78, 9)"
M1,medium,"(112, 102)","(123, 109)"
M2,medium,"(88, 64)","(99, 71)"
M3,medium,"(106, 114)","(117, 121)"
M4,medium,"(93, 39)","(104, 46)"
L0,large,"(125, 124)","(137, 134)"
L1,large,"(117, 3)","(129, 13)"
L2,large,"(143, 139)","(155, 149)"
20,1,8576790.0
S0,small,"(131, 5)","(139, 13)"
S1,small,"(119, 118)","(127, 126)"
S2,small,"(37, 131)","(45, 139)"
S3,small,"(52, 39)","(60, 47)"
S4,small,"(64, 132)","(72, 140)"
S5,small,"(83, 50)","(91, 58)"
S6,small,"(98, 115)","(106, 123)"
S7,small,"(123, 45)","(131, 53)"
S8,small,"(134, 103)","(142, 111)"
S9,small,"(81, 150)","(89, 158)"
S10,small,"(145, 126)","(153, 134)"
S11,small,"(39, 27)","(47, 35)"
M0,medium,"(97, 70)","(108, 77)"
M1,medium,"(35, 57)","(46, 64)"
M2,medium,"(144, 11)","(155, 18)"
M3,medium,"(49, 141)","(60, 148)"
M4,medium,"(58, 63)","(69, 70)"
L0,large,"(82, 84)","(94, 94)"
L1,large,"(117, 84)","(129, 94)"
L2,large,"(103, 33)","(115, 43)"
20,1,9251730.0
S0,small,"(37, 85)","(45, 93)"
S1,small,"(113, 67)","(121, 75)"
S2,small,"(46, 132)","(54, 140)"
S3,small,"(129, 142)","(137, 150)"
S4,small,"(66, 92)","(74, 100)"
S5,small,"(69, 106)","(77, 114)"
S6,small,"(128, 61)","(136, 69)"
S7,small,"(104, 45)","(112, 53)"
S8,small,"(78, 2)","(86, 10)"
S9,small,"(126, 12)","(134, 20)"
S10,small,"(58, 136)","(66, 144)"
S11,small,"(128, 43)","(136, 51)"
M0,medium,"(141, 4)","(152, 11)"
M1,medium,"(59, 25)","(70, 32)"
M2,medium,"(89, 146)","(100, 153)"
M3,medium,"(87, 115)","(98, 122)"
M4,medium,"(41, 145)","(52, 152)"
L0,large,"(113, 110)","(125, 120)"
L1,large,"(39, 33)","(51, 43)"
L2,large,"(145, 122)","(157, 132)"
